REGIAO:;NE
UF:;PB
ESTACAO:;ITAPORANGA
CODIGO (WMO):;A373
LATITUDE:;-7,31833332
LONGITUDE:;-38,14083333
ALTITUDE:;292
DATA DE FUNDACAO:;03/11/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;978,6;978,7;977,8;;28,2;20;29,6;28,2;20,7;19;62;53;61;200;7,6;2,6;
2024/01/01;0100 UTC;0;978,5;978,6;978,3;;27,9;20;28,2;27,7;20,1;20;63;61;62;235;4,5;1,7;
2024/01/01;0200 UTC;0;979,4;979,4;978,5;;28,2;20,2;28,2;27,8;20,3;20;63;62;62;257;3,1;1;
2024/01/01;0300 UTC;8,4;980,3;980,3;979,5;;22,9;22,3;28,2;22,9;22,6;20,2;97;62;97;265;5,4;1,2;
2024/01/01;0400 UTC;14,8;979,8;980,3;979,8;;22,9;22,9;22,9;22,7;22,9;22,3;100;97;100;31;3,9;1,1;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;,2;979,3;979,4;979,1;;23,3;23,3;23,4;23,2;23,4;22,9;100;97;100;130;3,9;,8;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;6;979,5;979,7;978,9;;23;23;23,3;22,8;23,3;22,8;100;99;100;293;3,7;,7;
2024/01/01;0900 UTC;0;980,2;980,2;979,5;66,4;23,3;23,3;23,3;22,8;23,3;22,8;100;100;100;336;1,6;,4;
