REGIAO:;CO
UF:;GO
ESTACAO:;ARAGARCAS
CODIGO (WMO):;A013
LATITUDE:;-15,90277777
LONGITUDE:;-52,24527777
ALTITUDE:;327,35
DATA DE FUNDACAO:;13/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;973,1;973,2;972,1;;;;;;;;84;80;84;65;2,9;1,8;
2024/01/01;0100 UTC;0;974,2;974,2;972,9;;;;;;;;86;81;82;53;2,9;1;
2024/01/01;0200 UTC;0;974,8;974,8;974;;;;;;;;82;79;82;56;3,4;1,6;
2024/01/01;0300 UTC;0;974,2;974,9;974,2;;;;;;;;83;76;76;41;4,1;1,9;
2024/01/01;0400 UTC;0;973,8;974,3;973,7;;;;;;;;86;74;85;187;5;2;
2024/01/01;0500 UTC;0;973,6;973,9;973,6;;;;;;;;94;85;94;256;7,9;,8;
2024/01/01;0600 UTC;6,8;973,6;973,7;973,3;;;;;;;;97;94;97;201;3,4;,8;
2024/01/01;0700 UTC;30,6;974,3;974,3;973,4;;;;;;;;98;97;98;272;5,2;1,1;
2024/01/01;0800 UTC;30,4;974,4;974,6;974;;;;;;;;99;98;99;219;4,7;,6;
2024/01/01;0900 UTC;8;974,8;974,8;974,4;;;;;;;;99;99;99;238;2,6;,6;
2024/01/01;1000 UTC;5;975,4;975,4;974,8;9,7;;;;;;;99;99;99;312;2,6;0;
2024/01/01;1100 UTC;1,4;976;976;975,4;114,3;;;;;;;99;99;99;249;1,8;,5;
2024/01/01;1200 UTC;,2;976,6;976,6;976;324;;;;;;;99;99;99;235;3,2;1,2;
2024/01/01;1300 UTC;,8;977,3;977,3;976,3;177,2;;;;;;;99;98;98;222;3,2;1,4;
2024/01/01;1400 UTC;5,8;976,1;977,6;976,1;314,6;;;;;;;99;98;98;275;5;1;
2024/01/01;1500 UTC;,2;974,6;976,2;974,6;798,2;;;;;;;98;97;97;242;4;1,2;
