REGIAO:;SE
UF:;SP
ESTACAO:;SAO LUIZ DO PARAITINGA
CODIGO (WMO):;A740
LATITUDE:;-23,22833332
LONGITUDE:;-45,41694443
ALTITUDE:;874
DATA DE FUNDACAO:;01/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1600 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1700 UTC;0;916,8;;;10;20,6;17,2;;;;;;;81;;;;
2024/01/01;1800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1900 UTC;0;915,8;;;477,3;22;18;;;;;;;78;309;;1,6;
2024/01/01;2000 UTC;0;915,8;915,8;915,7;496,3;21;17,3;22;21;18;17,2;80;77;79;288;5,9;3;
2024/01/01;2100 UTC;0;915,9;915,9;915,7;142,4;20;17,4;21;19,9;17,4;17,1;85;79;85;309;4,7;1,9;
