REGIAO:;SE
UF:;MG
ESTACAO:;MONTES CLAROS
CODIGO (WMO):;A506
LATITUDE:;-16,68638888
LONGITUDE:;-43,84388888
ALTITUDE:;645,87
DATA DE FUNDACAO:;19/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;941,6;941,7;940,8;;23,6;14,9;25,3;23,5;16,3;14,7;63;52;58;321;2,3;,6;
2023/01/01;0100 UTC;0;942,2;942,2;941,6;;22,1;16,3;23,8;22,1;16,3;14,3;70;56;70;301;1,9;,4;
2023/01/01;0200 UTC;0;942,2;942,3;942,1;;21,4;15,5;22,2;21,2;16,4;15,4;71;68;69;290;2,2;1,5;
2023/01/01;0300 UTC;0;941,6;942,2;941,6;;20,4;15,4;21,6;20,4;15,5;14,5;73;65;73;64;2,1;1,3;
2023/01/01;0400 UTC;0;941,4;941,7;941,4;;21,6;15,6;21,7;20,3;15,9;15,4;74;67;69;240;2,1;,2;
2023/01/01;0500 UTC;0;941,3;941,4;941,3;;20,5;15,3;21,7;20,5;16;15,3;74;67;72;300;1,6;,9;
2023/01/01;0600 UTC;0;941,1;941,3;941;;20,7;15,6;20,9;20;15,8;15,2;77;72;72;103;1,6;,4;
2023/01/01;0700 UTC;0;941,3;941,3;941,1;;20,9;16;21,1;20,6;16,2;15,5;75;70;74;58;1,7;,9;
2023/01/01;0800 UTC;0;941,7;941,7;941,3;;20,9;16,4;21;20,6;16,4;15,9;76;73;75;83;1,7;,6;
2023/01/01;0900 UTC;0;942,4;942,4;941,7;18,6;20,9;16,6;21,3;20,9;16,6;16,3;76;73;76;51;1,9;1,2;
