REGIAO:;SE
UF:;SP
ESTACAO:;BARRETOS
CODIGO (WMO):;A748
LATITUDE:;-20,55916666
LONGITUDE:;-48,54499999
ALTITUDE:;534,36
DATA DE FUNDACAO:;19/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;954,3;954,4;953,9;;21,7;19,5;21,9;21,7;19,6;19,5;87;87;87;74;1,9;,6;
2023/01/01;0100 UTC;0;954,5;954,5;954,2;;21,3;19,1;21,7;21,2;19,4;19;87;87;87;229;1,8;,6;
2023/01/01;0200 UTC;0;954,4;954,7;954,4;;21,1;18,9;21,4;21,1;19,1;18,9;87;87;87;253;1,3;,4;
2023/01/01;0300 UTC;0;953,7;954,4;953,7;;21;18,9;21,2;20,9;19,1;18,7;88;87;87;127;2,1;1,1;
2023/01/01;0400 UTC;0;953,3;953,8;953,3;;20,3;18,1;21;20,3;18,9;18,1;88;87;88;216;2,1;,4;
2023/01/01;0500 UTC;0;952,7;953,3;952,7;;19,6;17,5;20,3;19,6;18,2;17,5;88;87;88;234;1,3;,1;
2023/01/01;0600 UTC;0;952,4;952,7;952,4;;19,4;17,4;19,7;19,4;17,6;17,3;88;88;88;101;1,3;,6;
2023/01/01;0700 UTC;0;952,5;952,6;952,4;;19,2;17,2;19,5;19,2;17,5;17,2;88;88;88;82;1,6;,9;
2023/01/01;0800 UTC;0;952,8;952,8;952,5;;18,9;16,9;19,3;18,9;17,3;16,9;88;88;88;;1,6;,1;
2023/01/01;0900 UTC;,2;953,5;953,5;952,7;10,7;19,4;17,5;19,4;18,9;17,5;17;88;88;88;133;1,6;,6;
2023/01/01;1000 UTC;0;954,1;954,2;953,5;300,2;21,4;19,3;21,5;19,4;19,3;17,5;88;87;88;109;2,9;1,1;
2023/01/01;1100 UTC;0;954,6;954,6;954,1;858,8;24,4;18,7;24,6;21,4;19,8;18,7;88;70;70;105;3,3;1;
2023/01/01;1200 UTC;0;954,6;954,7;954,5;1395,6;26,5;18,1;26,6;24,3;19;17,1;72;59;60;73;4;1,6;
2023/01/01;1300 UTC;0;954,5;954,8;954,5;1761,9;27,7;18,2;27,9;26,1;19,5;17,4;63;54;56;23;4,7;1,5;
2023/01/01;1400 UTC;0;954,2;954,6;954,2;1767,2;29,1;19,1;29,1;27,5;19,8;17,6;59;51;55;23;5,8;1,6;
2023/01/01;1500 UTC;0;953,6;954,2;953,6;2426;30,1;17,4;30,4;28,6;19,8;16,8;57;44;47;19;5,5;1,5;
2023/01/01;1600 UTC;0;952,6;953,6;952,6;1970,5;28,9;17,9;31;28,9;19,3;16,8;53;43;51;332;4,2;1,2;
2023/01/01;1700 UTC;0;951,5;952,6;951,5;1395,7;30,6;17,5;31,5;28,7;18,7;15,9;56;39;46;355;4,8;1,5;
