REGIAO:;N
UF:;AP
ESTACAO:;MACAPA
CODIGO (WMO):;A249
LATITUDE:;,03499999
LONGITUDE:;-51,08888888
ALTITUDE:;16,62
DATA DE FUNDACAO:;12/12/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1009,6;1009,9;1009,2;,1;25,8;23,8;25,9;25,3;24;23,4;91;87;89;16;5,5;,8;
2023/01/01;0100 UTC;0;1010,2;1010,2;1009,6;;26,7;23,9;27;25,7;24,3;23,8;89;83;85;43;5,5;1,7;
2023/01/01;0200 UTC;0;1010,2;1010,4;1010,1;;26,3;23,6;26,7;26,2;23,9;23,6;85;85;85;37;4,5;1,7;
2023/01/01;0300 UTC;0;1009,9;1010,2;1009,9;;25,8;23,8;26,3;25,8;23,8;23,6;89;85;89;22;4,3;1;
2023/01/01;0400 UTC;0;1009,3;1009,9;1009,3;;25,5;23,8;25,9;25,5;23,9;23,8;90;89;90;347;3,7;1,5;
2023/01/01;0500 UTC;0;1008,4;1009,3;1008,4;;25;23,7;25,5;25;23,8;23,7;92;90;92;355;3,7;1,1;
2023/01/01;0600 UTC;0;1008,1;1008,4;1008;;24,9;24,1;25;24,9;24,1;23,6;95;92;95;358;4,4;1,2;
2023/01/01;0700 UTC;0;1007,9;1008,1;1007,9;;24,9;24;24,9;24,9;24,1;24;95;95;95;358;3,5;1,2;
2023/01/01;0800 UTC;0;1008;1008;1007,9;;24,8;24;24,9;24,8;24,1;24;95;95;95;345;4;1,7;
2023/01/01;0900 UTC;0;1008,6;1008,6;1008,1;;24,8;23,9;24,9;24,8;24,1;23,9;95;95;95;349;3,7;1,1;
2023/01/01;1000 UTC;0;1009,3;1009,3;1008,6;49;24,9;24;24,9;24,7;24;23,8;95;95;95;344;3,5;1,5;
2023/01/01;1100 UTC;0;1010,2;1010,2;1009,3;219,2;25,1;24;25,1;24,8;24;23,9;95;94;94;354;4,6;1,6;
2023/01/01;1200 UTC;0;1011;1011;1010,2;387;25,9;24,3;25,9;25,1;24,3;24;94;91;91;327;4,1;1,4;
2023/01/01;1300 UTC;0;1011,5;1011,5;1011;589,5;26,2;24,2;26,5;25,8;24,5;24,1;91;88;89;328;3,4;1,8;
2023/01/01;1400 UTC;,2;1011,3;1011,5;1011,2;306,8;26;24,4;26,3;26;24,6;24,2;91;89;91;261;3,4;1;
2023/01/01;1500 UTC;,6;1011,1;1011,4;1011,1;187,2;25,8;24,8;26;25,6;24,8;24,2;94;91;94;242;2,1;,9;
2023/01/01;1600 UTC;2,6;1009,5;1011,1;1009,5;203,6;25,4;24,6;25,8;25,3;24,9;24,4;96;94;96;309;2,5;1,2;
2023/01/01;1700 UTC;1;1009;1009,6;1009;629,1;26,3;25,1;26,4;25,4;25,4;24,6;96;93;93;237;2,3;1;
2023/01/01;1800 UTC;1,2;1008;1009;1008;469,3;25,9;24,4;26,6;25,8;25,4;24,1;93;90;92;25;2;1,1;
2023/01/01;1900 UTC;1;1007,9;1008;1007,6;531,1;26,1;22,7;26,7;25,9;25;22,7;92;82;82;153;3,9;1,9;
