REGIAO:;NE
UF:;PI
ESTACAO:;SAO RAIMUNDO NONATO
CODIGO (WMO):;A345
LATITUDE:;-9,03305554
LONGITUDE:;-42,70111111
ALTITUDE:;385
DATA DE FUNDACAO:;27/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;969;969;968,4;;24,9;17,9;26,4;24,9;18,4;17,9;65;61;65;15;2,7;0;
2023/01/01;0100 UTC;0;969,3;969,3;969;;24,1;17,7;24,9;24,1;18,2;17,7;68;65;67;116;,9;0;
2023/01/01;0200 UTC;0;969,1;969,3;969,1;;23,1;17,5;24,1;23,1;17,7;17,3;71;67;70;202;1,7;1;
2023/01/01;0300 UTC;0;968,8;969,1;968,8;;22,9;17,6;23,4;22,9;17,8;17,5;72;70;72;241;2,4;,2;
2023/01/01;0400 UTC;0;968,3;968,8;968,3;;22,3;17,4;22,9;22,2;17,5;17,2;75;72;74;188;2;,6;
2023/01/01;0500 UTC;0;968,3;968,3;968,2;;21,8;17,3;22,3;21,8;17,6;17,3;75;74;75;206;2,2;1;
2023/01/01;0600 UTC;0;968,4;968,4;968,2;;21,2;17;21,8;21,2;17,3;16,9;77;75;77;233;1,9;1;
2023/01/01;0700 UTC;0;968,5;968,6;968,3;;20,3;16,3;21,2;20,3;17,1;16,3;78;77;78;31;2;,3;
2023/01/01;0800 UTC;0;968,8;968,8;968,5;;20,2;16,6;20,5;20,2;16,7;16,4;80;78;80;99;1,5;0;
2023/01/01;0900 UTC;0;969,3;969,3;968,8;22,1;19,8;16,3;20,3;19,7;16,7;16,2;80;80;80;168;,8;0;
2023/01/01;1000 UTC;0;970,2;970,2;969,3;551,5;21,9;18,6;21,9;19,8;18,6;16,3;82;80;82;257;1,7;,5;
2023/01/01;1100 UTC;0;970,6;970,6;970,2;1506,4;25;20,2;25;21,9;20,5;18,6;82;75;75;121;8;4;
2023/01/01;1200 UTC;0;970,6;970,7;970,5;2334;26,2;19,4;26,2;24,9;20,3;19,1;75;65;66;110;8;3,6;
2023/01/01;1300 UTC;0;970,2;970,6;970,2;3075,4;27,6;19,2;27,6;26,2;19,6;18,7;67;60;60;106;8,2;3,4;
2023/01/01;1400 UTC;0;969,6;970,2;969,6;3480,9;28,5;18,5;28,7;27,6;19,5;18,5;61;55;55;94;7,8;3,1;
2023/01/01;1500 UTC;0;968,8;969,6;968,8;3978,2;30,1;18,5;30,2;28,5;19,7;18,3;56;50;50;83;7,5;3,2;
2023/01/01;1600 UTC;0;967,8;968,8;967,7;3649,1;30,9;18,3;31;29,9;19,4;18,3;52;47;47;95;7,3;3;
2023/01/01;1700 UTC;0;967;967,8;967;3389,6;31,7;19,1;31,8;30,3;20;18;51;47;47;101;6,5;3,1;
2023/01/01;1800 UTC;0;966,2;967;966,2;2912,5;31,6;18,7;31,9;31,4;19,7;18,5;49;46;46;84;6,5;2,4;
2023/01/01;1900 UTC;0;965,9;966,2;965,8;2120,7;32;18,4;32,1;31,5;19,2;17,7;47;44;45;79;5,5;2,3;
2023/01/01;2000 UTC;0;966,1;966,1;965,9;1205,3;31,2;17,7;32;31,2;18,3;17,4;45;43;44;70;5,8;2,5;
2023/01/01;2100 UTC;0;966,5;966,5;966;238,2;29,2;17;31,2;29,2;17,8;16,9;48;44;48;82;4,7;1,5;
2023/01/01;2200 UTC;0;967,1;967,1;966,5;;27;16,9;29,2;27;17;16,8;54;48;54;109;2,4;,4;
2023/01/01;2300 UTC;0;967,8;967,8;967,1;;25,4;17;27;25,4;17;16,6;60;54;60;177;1,5;0;
2023/01/02;0000 UTC;0;968,3;968,3;967,8;;24,3;17,4;25,4;24,3;17,4;16,8;66;60;66;213;1,7;,2;
2023/01/02;0100 UTC;0;968,5;968,6;968,3;;23,6;17,8;24,3;23,6;17,9;17,3;70;65;70;212;2,1;,4;
2023/01/02;0200 UTC;0;968,3;968,5;968,3;;22,9;17,8;23,8;22,9;18,1;17,7;73;70;73;219;1,7;,4;
2023/01/02;0300 UTC;0;968,1;968,3;968,1;;22,7;17,7;23,2;22,7;18,1;17,7;73;72;73;214;2,6;1,4;
2023/01/02;0400 UTC;0;968,1;968,6;968,1;;23;18,2;23,2;22,7;18,4;17,8;75;73;74;308;5,4;0;
2023/01/02;0500 UTC;0;968,1;968,1;967,9;;22,3;17,8;23;22,3;18,2;17,7;76;74;76;260;1,3;0;
2023/01/02;0600 UTC;0;967,9;968,1;967,9;;21,7;17,5;22,4;21,7;18;17,5;77;76;77;293;1,7;0;
2023/01/02;0700 UTC;0;968,3;968,4;967,9;;21,6;17,6;21,8;21,6;17,7;17,4;78;77;78;129;1,4;0;
2023/01/02;0800 UTC;0;968,6;968,6;968,3;;22,2;18,4;22,2;21,5;18,4;17,6;79;78;79;308;1,5;0;
2023/01/02;0900 UTC;0;969,2;969,2;968,6;16,7;22;18,3;22,2;21,9;18,5;18,2;80;79;80;200;,8;0;
